Dataset ; TSTAdaBoost.NC-C ; TSTC45-C ; TSTChi-RW-C ; TSTFURIA-C ; TSTGAssist-Intervalar-C ; TSTGFS-GCCL-C ; TSTRipper-C
abalone ; 9.343568207634867 ; 20.434810046699482 ; 0.023923444976081676 ; 21.680435555861532 ; 24.077484423944117 ; 24.053847830826246 ; 23.455646965681055
australian ; 86.52173913043478 ; 85.21739130434783 ; 79.85507246376812 ; 85.3623188405797 ; 85.3623188405797 ; 73.62318840579711 ; 84.20289855072464
balance ; 41.43331402717971 ; 76.79614380566258 ; 89.59755063668338 ; 82.8742246061125 ; 80.96954664114897 ; 81.93472841278235 ; 50.86579705035549
bupa ; 70.21252371916509 ; 66.99918677148278 ; 57.87232312279751 ; 68.39604228788289 ; 63.816210355109796 ; 58.46381133098401 ; 59.320954188126876
car ; 87.44186046511628 ; 91.54993950799839 ; 77.77557467401533 ; 92.99805081328135 ; 90.28095174082537 ; 70.02352466729398 ; 89.87531926334185
chess ; 99.40566222570533 ; 99.40566222570533 ; 0.0 ; 99.46845611285266 ; 97.6217672413793 ; 0.0 ; 99.31240203761756
coil2000 ; 93.58577487345981 ; 93.91164045390788 ; 75.07615201811653 ; 93.96252587262485 ; 93.9727195314232 ; 46.60201013978986 ; 92.95453462425385
contraceptive ; 39.84969663541092 ; 52.68201875344732 ; 39.85751057179628 ; 54.24756389042103 ; 53.157749586321025 ; 43.38205552491268 ; 51.26401912116199
ecoli ; 61.62210338680927 ; 79.46524064171123 ; 72.02317290552584 ; 79.76827094474153 ; 77.70944741532976 ; 65.51693404634581 ; 74.72370766488415
flare ; 53.47205078469406 ; 74.29818374184447 ; 38.46147064009875 ; 74.76811849761947 ; 73.16787162757892 ; 31.05096102980074 ; 67.63445600423206
german ; 65.9 ; 71.1 ; 19.599999999999994 ; 73.8 ; 73.2 ; 70.2 ; 66.10000000000001
glass ; 54.93051634355981 ; 67.44271911663216 ; 60.0412196499153 ; 70.4542317585796 ; 66.18988016814103 ; 63.20572181441747 ; 66.29650542694021
haberman ; 72.48387096774194 ; 73.16129032258065 ; 73.19354838709677 ; 72.19354838709677 ; 71.19354838709677 ; 73.20430107526882 ; 46.731182795698935
heart ; 79.62962962962963 ; 78.14814814814814 ; 51.85185185185185 ; 81.48148148148148 ; 80.37037037037037 ; 78.88888888888889 ; 76.29629629629629
ionosphere ; 92.6031746031746 ; 90.9047619047619 ; 65.54761904761904 ; 91.75396825396825 ; 86.6111111111111 ; 88.33333333333333 ; 86.06349206349206
iris ; 65.99999999999999 ; 96.0 ; 92.66666666666666 ; 95.33333333333334 ; 93.33333333333333 ; 95.33333333333334 ; 94.66666666666667
led7digit ; 13.4 ; 71.00000000000001 ; 63.6 ; 71.4 ; 64.8 ; 71.0 ; 48.8
lymphography ; 54.22969187675071 ; 74.29691876750701 ; 12.271708683473403 ; 79.31092436974791 ; 82.4733893557423 ; 67.19887955182074 ; 77.75910364145659
monk-2 ; 100.0 ; 100.0 ; 42.89223322577056 ; 100.0 ; 97.95454545454545 ; 97.26744186046513 ; 100.0
newthyroid ; 28.787878787878785 ; 92.12121212121212 ; 84.71861471861472 ; 96.29870129870129 ; 91.68831168831169 ; 86.12554112554113 ; 94.45887445887445
pima ; 74.10698950172635 ; 74.2317331791016 ; 72.53154739996846 ; 73.82529750950803 ; 76.32017105701317 ; 68.62321888637679 ; 70.83981807666018
ring ; 94.7027027027027 ; 90.64864864864865 ; 55.75675675675675 ; 93.5945945945946 ; 93.75675675675676 ; 91.08108108108108 ; 87.72972972972973
saheart ; 67.75670675300648 ; 68.3950046253469 ; 72.73358001850139 ; 70.13413506012951 ; 68.17298797409805 ; 65.35615171137835 ; 57.816836262719704
splice ; 45.98746081504703 ; 94.13793103448276 ; 10.470219435736682 ; 94.95297805642633 ; 90.62695924764891 ; 0.0 ; 93.44827586206897
thyroid ; 7.361111111111107 ; 99.625 ; 92.02777777777777 ; 99.66666666666667 ; 97.76388888888889 ; 92.58333333333333 ; 99.47222222222221
tic-tac-toe ; 88.6173245614035 ; 84.54605263157895 ; 0.0 ; 98.12061403508771 ; 94.05263157894737 ; 65.34649122807018 ; 97.59758771929825
titanic ; 78.19374742904155 ; 79.0557383792678 ; 78.28465651995063 ; 78.37392019744962 ; 78.78301110654051 ; 77.60304401480872 ; 63.569313039901274
vehicle ; 45.62184873949581 ; 74.69187675070029 ; 60.773109243697476 ; 70.19607843137256 ; 62.65826330532212 ; 57.22689075630252 ; 68.66806722689076
vowel ; 17.272727272727263 ; 81.51515151515152 ; 49.89898989898991 ; 80.1010101010101 ; 38.98989898989898 ; 54.64646464646465 ; 76.46464646464646
wine ; 71.37254901960785 ; 94.90196078431372 ; 93.82352941176471 ; 97.15686274509804 ; 90.359477124183 ; 91.01307189542483 ; 93.20261437908496
