Dataset ; AdaBoost.NC ; C45 ; Chi-RW ; FURIA ; GAssist-Intervalar ; GFS-GCCL ; Ripper
abalone ; 10.592018080272169 ; 75.17973619991706 ; 0.11713314415150444 ; 24.226732747079428 ; 25.26220844980035 ; 24.940114625932196 ; 46.21718620803821
australian ; 99.5330112721417 ; 93.31723027375202 ; 91.25603864734299 ; 89.30756843800322 ; 90.7085346215781 ; 75.47504025764896 ; 92.3671497584541
balance ; 48.99499377382226 ; 89.91990674697824 ; 91.44905046810537 ; 88.74720335301313 ; 86.96926457671339 ; 88.58630338173555 ; 60.14327123832236
bupa ; 88.88712947688249 ; 85.88887295963299 ; 59.87037248693049 ; 78.31793025672602 ; 79.28760330250913 ; 59.99858288347867 ; 85.9585237411612
car ; 90.39999917341027 ; 95.83338430636722 ; 97.74310417510476 ; 97.0549310210863 ; 90.7470676729019 ; 70.0231527785814 ; 94.74014911678886
chess ; 99.6384410337031 ; 99.6384410337031 ; 100.0 ; 99.73577792892941 ; 97.57680573422226 ; 0.0 ; 99.86440949586742
coil2000 ; 95.91506430520027 ; 94.18765149719543 ; 97.53501117783743 ; 94.08470673726426 ; 94.11751421482028 ; 46.044899353390136 ; 94.40259015090976
contraceptive ; 47.831275790432294 ; 72.54272460798543 ; 51.859563448020715 ; 55.94800648851703 ; 57.78840604456587 ; 43.848578502518585 ; 63.17421668231879
ecoli ; 65.01311389417089 ; 91.73212685506962 ; 75.79339059733788 ; 90.37669661005836 ; 83.03586650055735 ; 67.89030227526064 ; 92.55742792822329
flare ; 53.47093326381647 ; 78.59075208550573 ; 45.13203858185611 ; 75.71386209593327 ; 76.95447732012512 ; 31.050660410149455 ; 75.40089502954467
german ; 99.96666666666667 ; 84.82222222222222 ; 99.41111111111111 ; 76.83333333333333 ; 81.63333333333334 ; 70.35555555555555 ; 86.58888888888889
glass ; 66.61449733347786 ; 93.71804035550385 ; 65.98972250276756 ; 86.34663103463518 ; 71.39614545722658 ; 68.54301105850236 ; 90.77588162698966
haberman ; 79.41396574440053 ; 75.85177865612648 ; 74.25546772068512 ; 75.99644268774703 ; 82.09762845849802 ; 73.85638998682477 ; 56.89459815546771
heart ; 93.04526748971193 ; 91.64609053497944 ; 97.1604938271605 ; 88.88888888888889 ; 92.13991769547324 ; 89.42386831275721 ; 90.20576131687244
ionosphere ; 99.84177215189874 ; 98.6702833031947 ; 97.72071529033555 ; 97.15169780992565 ; 98.25909182238296 ; 92.59312839059675 ; 97.62537673297167
iris ; 66.66666666666666 ; 98.0 ; 93.77777777777779 ; 98.0 ; 98.22222222222223 ; 95.77777777777777 ; 99.25925925925925
led7digit ; 14.311111111111108 ; 77.13333333333333 ; 74.93333333333334 ; 76.33333333333333 ; 69.31111111111112 ; 77.62222222222222 ; 54.06666666666666
lymphography ; 56.08317535321727 ; 92.34403657543083 ; 100.0 ; 93.24983873606769 ; 94.96898506948698 ; 73.27092511956661 ; 94.96837256637092
monk-2 ; 100.0 ; 100.0 ; 97.24856798388785 ; 100.0 ; 98.69027683290597 ; 97.22272853300932 ; 100.0
newthyroid ; 30.232092302761593 ; 98.39752149991988 ; 86.04695262005235 ; 99.53501415522675 ; 96.79717963783986 ; 87.44297847337215 ; 99.48320068372416
pima ; 91.86947065436523 ; 83.81056819406564 ; 75.59337462343004 ; 79.18085190860313 ; 81.07663466435642 ; 69.89318500031581 ; 85.04096379363584
ring ; 99.93993993993993 ; 98.74474474474475 ; 58.29279279279279 ; 98.96996996996997 ; 95.34084084084084 ; 90.51651651651652 ; 95.45195195195195
saheart ; 91.84644346617237 ; 78.5722312326228 ; 78.52357506950881 ; 75.2531858202039 ; 81.57790778498611 ; 68.10970806302132 ; 86.2678405931418
splice ; 47.913618948101714 ; 96.23824451410658 ; 99.94427028909789 ; 99.49146638801811 ; 91.80076628352491 ; 0.0 ; 97.03935910832463
thyroid ; 7.416666666666671 ; 99.90123456790123 ; 92.9753086419753 ; 99.875 ; 97.91666666666666 ; 92.625 ; 99.77623456790124
tic-tac-toe ; 97.08894672176324 ; 93.01784096377769 ; 100.0 ; 99.65199904288983 ; 96.76408040800854 ; 65.34449244931483 ; 99.81442547848788
titanic ; 78.57036034244514 ; 79.05498447371238 ; 78.32805847470159 ; 78.48456549339942 ; 79.00450491793248 ; 77.60111462938319 ; 64.18745251607443
vehicle ; 48.41081461400768 ; 90.55718232330025 ; 65.91842823195064 ; 79.76127901883487 ; 67.38893430042664 ; 62.016824112491854 ; 87.9446508082679
vowel ; 17.901234567901238 ; 97.11560044893378 ; 55.29741863075197 ; 96.37485970819304 ; 43.15375982042649 ; 60.1571268237935 ; 94.24242424242424
wine ; 72.97166149068323 ; 98.8761645962733 ; 98.81405279503106 ; 99.25038819875776 ; 99.18866459627328 ; 97.6906055900621 ; 99.81366459627328
